  
       XFOIL         Version 6.96
  
 Calculated polar for: E63  (4.25%)                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -8.000  -0.3703   0.12065   0.11386  -0.0218   1.0000   0.0933
  -7.750  -0.3782   0.12075   0.11409  -0.0215   1.0000   0.0940
  -7.500  -0.3895   0.12126   0.11473  -0.0211   1.0000   0.0944
  -7.250  -0.3620   0.11156   0.10490  -0.0194   1.0000   0.1000
  -7.000  -0.3629   0.10964   0.10305  -0.0183   1.0000   0.1031
  -6.750  -0.3688   0.10858   0.10211  -0.0173   1.0000   0.1058
  -6.500  -0.3740   0.10839   0.10204  -0.0187   1.0000   0.1076
  -6.250  -0.3729   0.10635   0.10012  -0.0204   1.0000   0.1089
  -6.000  -0.3641   0.10089   0.09466  -0.0160   1.0000   0.1139
  -5.750  -0.3612   0.09874   0.09257  -0.0165   1.0000   0.1184
  -5.500  -0.3557   0.09837   0.09230  -0.0232   1.0000   0.1219
  -5.250  -0.3521   0.09357   0.08755  -0.0188   1.0000   0.1250
  -5.000  -0.3455   0.09067   0.08470  -0.0186   1.0000   0.1314
  -4.750  -0.3302   0.08875   0.08284  -0.0265   1.0000   0.1367
  -4.500  -0.3279   0.08488   0.07901  -0.0215   1.0000   0.1422
  -4.250  -0.3073   0.08227   0.07642  -0.0292   1.0000   0.1509
  -4.000  -0.3021   0.07894   0.07313  -0.0261   1.0000   0.1585
  -3.750  -0.2850   0.07570   0.06991  -0.0296   1.0000   0.1679
  -3.500  -0.2641   0.07249   0.06670  -0.0338   1.0000   0.1804
  -3.250  -0.2447   0.06925   0.06341  -0.0365   1.0000   0.1946
  -3.000  -0.2263   0.06617   0.06034  -0.0381   1.0000   0.2113
  -2.750  -0.1881   0.06317   0.05726  -0.0468   1.0000   0.2466
