  
       XFOIL         Version 6.96
  
 Calculated polar for: E63  (4.25%)                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.100 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -8.000  -0.3041   0.10888   0.10445  -0.0221   1.0000   0.0394
  -7.750  -0.3095   0.10768   0.10331  -0.0216   1.0000   0.0395
  -7.500  -0.3173   0.10679   0.10250  -0.0207   1.0000   0.0396
  -7.250  -0.2925   0.09619   0.09189  -0.0186   1.0000   0.0426
  -7.000  -0.2924   0.09360   0.08934  -0.0174   1.0000   0.0440
  -6.750  -0.2942   0.09127   0.08705  -0.0162   1.0000   0.0454
  -6.500  -0.2975   0.08914   0.08499  -0.0150   1.0000   0.0466
  -6.250  -0.3025   0.08720   0.08310  -0.0135   1.0000   0.0477
  -6.000  -0.3092   0.08546   0.08143  -0.0117   1.0000   0.0487
  -5.750  -0.3152   0.08373   0.07976  -0.0105   1.0000   0.0497
  -5.500  -0.3177   0.08192   0.07801  -0.0107   1.0000   0.0509
  -5.250  -0.3175   0.08047   0.07661  -0.0129   1.0000   0.0520
  -5.000  -0.3089   0.07932   0.07548  -0.0196   1.0000   0.0528
  -4.750  -0.2892   0.07739   0.07352  -0.0289   1.0000   0.0532
  -4.500  -0.2779   0.08293   0.07859  -0.0431   1.0000   0.0532
  -4.250  -0.2933   0.07796   0.07375  -0.0338   1.0000   0.0544
  -4.000  -0.2914   0.07475   0.07058  -0.0304   1.0000   0.0563
  -3.750  -0.2757   0.07161   0.06743  -0.0323   1.0000   0.0594
  -3.500  -0.1831   0.06698   0.06249  -0.0598   1.0000   0.0670
  -3.250  -0.1914   0.06294   0.05860  -0.0533   1.0000   0.0684
  -3.000  -0.1798   0.06006   0.05571  -0.0523   1.0000   0.0718
  -2.750  -0.1098   0.05497   0.05038  -0.0688   1.0000   0.0820
  -2.500  -0.0951   0.05223   0.04768  -0.0681   1.0000   0.0868
  -2.250  -0.0410   0.04805   0.04333  -0.0783   1.0000   0.0985
  -2.000   0.0068   0.04455   0.03969  -0.0860   1.0000   0.1127
  -1.750   0.0643   0.04122   0.03609  -0.0957   1.0000   0.1377
  -1.500   0.0975   0.03869   0.03351  -0.0987   1.0000   0.1560
  -1.250   0.1419   0.03630   0.03098  -0.1044   1.0000   0.1943
  -0.750   0.3138   0.02676   0.01934  -0.1268   1.0000   0.0725
  -0.500   0.3609   0.02483   0.01679  -0.1299   1.0000   0.0615
  -0.250   0.4006   0.02350   0.01507  -0.1318   1.0000   0.0596
   0.000   0.4355   0.02267   0.01404  -0.1330   1.0000   0.0626
   0.250   0.4702   0.02213   0.01350  -0.1345   1.0000   0.0784
   0.500   0.5143   0.01941   0.01275  -0.1371   1.0000   1.0000
   0.750   0.5365   0.02001   0.01305  -0.1366   1.0000   1.0000
   1.000   0.5580   0.02066   0.01351  -0.1363   1.0000   1.0000
   1.250   0.5788   0.02138   0.01409  -0.1359   1.0000   1.0000
   1.500   0.6028   0.02217   0.01477  -0.1363   0.9981   1.0000
   1.750   0.6498   0.02287   0.01535  -0.1408   0.9868   1.0000
   2.000   0.6955   0.02334   0.01576  -0.1449   0.9754   1.0000
   2.250   0.7400   0.02361   0.01602  -0.1486   0.9637   1.0000
   2.500   0.7845   0.02371   0.01618  -0.1520   0.9517   1.0000
   2.750   0.8297   0.02363   0.01616  -0.1554   0.9392   1.0000
   3.000   0.8751   0.02336   0.01599  -0.1586   0.9263   1.0000
   3.250   0.9212   0.02290   0.01566  -0.1616   0.9129   1.0000
   3.500   0.9687   0.02217   0.01520  -0.1645   0.8991   1.0000
   3.750   1.0177   0.02114   0.01440  -0.1672   0.8849   1.0000
   4.000   1.0594   0.02012   0.01362  -0.1684   0.8663   1.0000
   4.250   1.1088   0.01860   0.01240  -0.1703   0.8470   1.0000
   4.500   1.1612   0.01708   0.01133  -0.1727   0.8171   1.0000
   4.750   1.2127   0.01593   0.01036  -0.1747   0.7523   1.0000
   5.000   1.2532   0.01618   0.00975  -0.1744   0.5716   1.0000
   5.250   1.2628   0.01790   0.01053  -0.1702   0.4083   1.0000
   5.500   1.2692   0.02013   0.01175  -0.1662   0.2448   1.0000
   5.750   1.2687   0.02456   0.01462  -0.1612   0.0777   1.0000
   6.000   1.2838   0.02660   0.01661  -0.1586   0.0583   1.0000
   6.250   1.3006   0.02887   0.01893  -0.1562   0.0516   1.0000
   6.500   1.3239   0.03115   0.02130  -0.1548   0.0476   1.0000
   6.750   1.3527   0.03411   0.02431  -0.1545   0.0450   1.0000
   7.000   1.3863   0.03820   0.02859  -0.1548   0.0439   1.0000
   7.250   1.4143   0.04214   0.03304  -0.1539   0.0440   1.0000
   7.500   1.4328   0.04654   0.03803  -0.1518   0.0426   1.0000
   7.750   1.4476   0.05014   0.04227  -0.1488   0.0418   1.0000
   8.000   1.4608   0.05678   0.04934  -0.1466   0.0430   1.0000
   8.250   1.4650   0.06080   0.05458  -0.1406   0.0487   1.0000
   8.500   1.4681   0.06795   0.06213  -0.1375   0.0533   1.0000
